id;Year;Title;WorldwideBox_office;DomesticBox_office;InternationalBox_office;production_cost;Runtime;release_date;Genre_1;Genre_2;Genre_3;original_language;popularity;Production_Companies;vote_average;vote_count;Cast;Director;IMDB_Rating;Metascore
671;2001;Harry Potter and the Philosopher's Stone;976475550;3188869620;;125000000;152;11;Adventure;Fantasy;Family;en;184584;Warner Bros. Pictures;79;26437;Daniel Radcliffe, Rupert Grint, Emma Watson;Chris Columbus;760;650
138843;2013;The Conjuring;320400000;1374463680;;13000000;112;7;Horror;Thriller;;en;107162;Evergreen Media Group;7541;11075;Patrick Wilson, Vera Farmiga, Ron Livingston;James Wan;750;680
139038;2013;A Haunted House;60141683;400416830;;2500000;86;1;Comedy;Horror;;en;37689;Open Road Films;59;1783;Marlon Wayans, Essence Atkins, Marlene Forte;Michael Tiddes;500;200
139948;2012;Burn;111300;11092760;;225000;86;11;Documentary;Documentary;;en;2201;Apostle;74;24;Donald Austin, Brendan Doogie Milewski, Craig Dougherty;Tom Putnam, Brenna Sanchez;740;820
140300;2016;Kung Fu Panda 3;521170825;1435286190;;145000000;95;1;Action;Adventure;Animation;en;147107;DreamWorks Animation;6907;5704;Jack Black, Bryan Cranston, Dustin Hoffman;Alessandro Carloni, Jennifer Yuh Nelson;710;660
140823;2013;Saving Mr. Banks;112544580;833015800;;35000000;125;11;Comedy;Drama;History;en;16758;Hopscotch Features;7349;3198;Emma Thompson, Tom Hanks, Annie Rose Buckley;John Lee Hancock;750;650
144336;2014;Sabotage;22100000;105085180;;35000000;110;3;Action;Drama;Thriller;en;30694;Open Road Films;56;1357;Arnold Schwarzenegger, Sam Worthington, Terrence Howard;David Ayer;570;410
144340;2013;Admission;18600000;180073170;;13000000;107;3;Comedy;Drama;Romance;en;12214;Focus Features;56;593;Tina Fey, Paul Rudd, Nat Wolff;Paul Weitz;570;480
145220;2014;Muppets Most Wanted;80400000;511831130;;50000000;107;3;Comedy;Adventure;Crime;en;18207;Walt Disney Pictures;63;779;Ricky Gervais, Ty Burrell, Tina Fey;James Bobin;640;610
146198;2016;Triple 9;12600000;126392970;;20000000;115;2;Action;Crime;Adventure;en;25718;Surefire Capital;5969;2041;Casey Affleck, Chiwetel Ejiofor, Anthony Mackie;John Hillcoat;630;520
146203;2013;The Last Exorcism Part II;15200000;151793020;;5000000;88;2;Horror;Thriller;;en;21526;CBS Films;46;513;Ashley Bell, Julia Garner, Spencer Treat Clark;Ed Gass-Donnelly;400;350
146216;2013;RED 2;148100000;532625600;;84000000;116;7;Action;Comedy;Crime;en;24857;di Bonaventura Pictures;65;3870;Bruce Willis, Helen Mirren, John Malkovich;Dean Parisot;660;470
146227;2013;Getaway;10501938;105019380;;18000000;90;8;Action;Crime;;en;1596;Saints LA;50;599;Ethan Hawke, Selena Gomez, Jon Voight;Courtney Solomon;440;220
146233;2013;Prisoners;122126687;610023020;;46000000;153;9;Drama;Thriller;Crime;en;54195;Alcon Entertainment;8094;11264;Hugh Jackman, Jake Gyllenhaal, Viola Davis;Denis Villeneuve;820;700
146238;2013;Runner Runner;62600000;193166460;;30000000;91;9;Crime;Thriller;Drama;en;15235;Regency Enterprises;56;1194;Ben Affleck, Justin Timberlake, Gemma Arterton;Brad Furman;560;360
146239;2013;Delivery Man;51164106;306641060;;26000000;105;10;Comedy;;;en;16122;DreamWorks Pictures;62;1417;Vince Vaughn, Chris Pratt, Cobie Smulders;Ken Scott;630;440
146304;2013;The Best Man Holiday;71625195;705251950;;17000000;123;11;Comedy;;;en;9077;Universal Pictures;66;248;Monica Calhoun, Morris Chestnut, Melissa De Sousa;Malcolm D. Lee;660;590
147441;2014;Exodus: Gods and Kings;268031828;650145130;;140000000;150;12;Adventure;Drama;Action;en;78737;20th Century Fox;5863;4398;Christian Bale, Joel Edgerton, Ben Kingsley;Ridley Scott;600;520
147767;2012;Khiladi 786;126;3794660;;0;139;12;Action;Comedy;;hi;7333;Hari Om Entertainment;46;37;Akshay Kumar, Asin Thottumkal, Mithun Chakraborty;Ashish R. Mohan;430;
147773;2013;The Way Way Back;23198652;215065460;;4600000;103;6;Comedy;Drama;;en;11852;Sycamore Pictures;7153;1699;Steve Carell, Toni Collette, Allison Janney;Nat Faxon, Jim Rash;740;680
150540;2015;Inside Out;857611174;3569217110;;175000000;95;6;Animation;Family;Adventure;en;173735;Pixar;7916;20218;Amy Poehler, Bill Hader, Lewis Black;Pete Docter, Ronnie Del Carmen;810;940
150689;2015;Cinderella;543514353;2011513530;;95000000;105;3;Romance;Fantasy;Family;en;97643;Walt Disney Pictures;68;6877;Lily James, Cate Blanchett, Richard Madden;Kenneth Branagh;690;670
152532;2013;Dallas Buyers Club;55736588;272982850;;5000000;117;11;Drama;History;;en;22827;Truth Entertainment;7929;8237;Matthew McConaughey, Jennifer Garner, Jared Leto;Jean-Marc Vallée;790;770
152599;2013;The Immigrant;5867686;20253280;;16000000;117;11;Drama;Romance;;en;1534;Kingsgate Films;6307;796;Marion Cotillard, Joaquin Phoenix, Jeremy Renner;James Gray;660;770
152601;2013;Her;47351251;255682510;;23000000;126;12;Romance;Science Fiction;Drama;en;48583;Annapurna Pictures;7858;13815;Joaquin Phoenix, Amy Adams, Scarlett Johansson;Spike Jonze;800;910
152737;2013;August: Osage County;74188937;377388100;;25000000;121;12;Comedy;Drama;;en;16597;Jean Doumanian Productions;68;1417;Meryl Streep, Dermot Mulroney, Julia Roberts;John Wells;720;580
152742;2013;The Best Offer;19255873;1000350;;13500000;131;1;Drama;Romance;Crime;it;21911;Regione Lazio;783;2745;Geoffrey Rush, Jim Sturgess, Sylvia Hoeks;Giuseppe Tornatore;780;490
152747;2013;All Is Lost;6108720;62636700;;9000000;106;8;Action;Adventure;Drama;en;13844;Before the Door Pictures;6639;1548;Robert Redford;J.C. Chandor;690;870
152760;2014;The Monuments Men;154984035;780316200;;70000000;118;1;War;Drama;History;en;23298;Columbia Pictures;6048;3457;George Clooney, Matt Damon, Bill Murray;George Clooney;610;520
153518;2016;The Angry Birds Movie;349779543;1075093660;;73000000;97;5;Animation;Adventure;Comedy;en;53237;Columbia Pictures;62;3498;Jason Sudeikis, Josh Gad, Danny McBride;Clay Kaytis, Fergal Reilly;630;430
156022;2014;The Equalizer;192330738;1015307380;;55000000;132;9;Thriller;Action;Crime;en;96355;Lonetree Entertainment;7271;8669;Denzel Washington, Marton Csokas, Chloë Grace Moretz;Antoine Fuqua;720;570
157293;2013;ABCD;222000;2220980;;0;136;2;Drama;Music;;hi;6759;UTV Motion Pictures;59;47;Prabhu Deva, Ganesh Acharya, Kay Kay Menon;Remo D'Souza;630;
157336;2014;Interstellar;701729206;1880200170;;165000000;169;11;Adventure;Drama;Science Fiction;en;2364;Legendary Pictures;8433;34095;Matthew McConaughey, Anne Hathaway, Jessica Chastain;Christopher Nolan;870;740
157350;2014;Divergent;288885818;1509478950;;85000000;139;3;Action;Adventure;Science Fiction;en;50644;Summit Entertainment;692;12438;Shailene Woodley, Theo James, Kate Winslet;Neil Burger;660;480
157353;2014;Transcendence;103039258;230223090;;100000000;119;4;Thriller;Science Fiction;Drama;en;28947;DMG Entertainment;6034;5247;Johnny Depp, Rebecca Hall, Morgan Freeman;Wally Pfister;620;420
157354;2013;Fruitvale Station;17600000;161013390;;900000;82;7;Drama;;;en;20357;Significant Productions;7361;1227;Michael B. Jordan, Melonie Diaz, Octavia Spencer;Ryan Coogler;750;850
157386;2013;The Spectacular Now;6854611;68546110;;2500000;95;8;Comedy;Drama;Romance;en;24165;Global Produce;6648;2784;Miles Teller, Shailene Woodley, Kyle Chandler;James Ponsoldt;700;820
157544;2015;The Vatican Tapes;1784763;17847630;;13000000;91;7;Thriller;Horror;;en;24767;Lionsgate;53;729;Olivia Taylor Dudley, Michael Peña, Dougray Scott;Mark Neveldine;470;380
157547;2013;Oculus;44459951;276952460;;5000000;104;9;Horror;;;en;53499;MICA Entertainment;6441;2816;Karen Gillan, Brenton Thwaites, Katee Sackhoff;Mike Flanagan;650;610
157841;2013;The Young and Prodigious T.S. Spivet;9494789;1735640;;33000000;105;10;Adventure;Drama;Family;en;15576;Epithète Films;68;761;Helena Bonham Carter, Judy Davis, Callum Keith Rennie;Jean-Pierre Jeunet;700;530
157849;2014;A Most Wanted Man;31554855;172378550;;15000000;121;7;Thriller;;;en;15951;Amusement Park Films;6469;1300;Philip Seymour Hoffman, Rachel McAdams, Daniel Brühl;Anton Corbijn;670;730
