id;Year;Title;WorldwideBox_office;DomesticBox_office;InternationalBox_office;production_cost;Runtime;release_date;Genre_1;Genre_2;Genre_3;original_language;popularity;Production_Companies;vote_average;vote_count;Cast;Director;IMDB_Rating;Metascore
140607;2015;Star Wars: Episode VII - The Force Awakens;2068223624;;;2450000000;1360;120;Adventure;Action;Science Fiction;en;74801;Lucasfilm Ltd.;7284;188380;;;;
79;2002;英雄;177394432;;;310000000;990;70;Drama;Adventure;Action;zh;27864;Beijing New Picture Film Co. Ltd.;75;21430;;;;
83;2004;Open Water;54700000;;;1300000;790;100;Drama;Thriller;Horror;en;13644;Plunge Pictures LLC;55;10170;;;;
104;1998;Lola rennt;7267585;;;15300000;810;30;Action;Drama;Thriller;de;22336;X Filme Creative Pool;73;21020;;;;
128;1997;もののけ姫;169000000;;;235000000;1340;70;Adventure;Fantasy;Animation;ja;80404;Studio Ghibli;8339;76320;;;;
129;2001;千と千尋の神隠し;274925095;;;190000000;1250;70;Animation;Family;Fantasy;ja;116949;Studio Ghibli;8539;157960;;;;
140;1999;La mala educación;40266982;13005804700;2262000000;50000000;1060;30;Drama;Crime;;es;19803;Canal+ España;74;9110;;;;
146;2000;卧虎藏龍;213525736;;;170000000;1200;70;Adventure;Drama;Action;zh;3378;China Film Co-Production Corporation;74;30490;;;;
173;1954;20,000 Leagues Under the Sea;28200000;;;50000000;1270;120;Adventure;Science Fiction;Family;en;2511;Walt Disney Productions;70;8290;;;;
194;2001;Le Fabuleux Destin d'Amélie Poulain;173921954;;;100000000;1220;40;Comedy;Romance;;fr;72926;Victoires Productions;7908;111250;;;;
223;1940;Rebecca;7592465;;;12880000;1300;30;Mystery;Romance;Thriller;en;22309;Selznick International Pictures;79;16660;;;;
239;1959;Some Like It Hot;25000000;;;28838480;1220;30;Comedy;Romance;Crime;en;37442;The Mirisch Company;8102;33110;;;;
248;1961;Pocketful of Miracles;5000000;;;29000000;1360;120;Comedy;Drama;;en;17443;Franton Production;73;1580;;;;
261;1958;Cat on a Hot Tin Roof;17570324;;;30000000;1080;80;Drama;Romance;;en;28799;Avon Productions;76;7130;;;;
288;1952;High Noon;8000000;;;7300000;850;60;Western;Thriller;;en;26206;Stanley Kramer Productions;77;13440;;;;
335;1968;C'era una volta il West;5380118;;;50000000;1660;120;Drama;Western;;it;46505;Paramount;83;41070;;;;
342;2004;Sommersturm;2085166;;;27000000;980;90;Comedy;Drama;;de;12129;Claussen+Wöbke Filmproduktion;67;1860;;;;
346;1954;七人の侍;346300;;;20000000;2070;40;Action;Drama;;ja;39725;TOHO;8454;34630;;;;
387;1981;Das Boot;85000000;;;140000000;1500;90;Drama;History;War;de;40771;Radiant Film GmbH;81;20930;;;;
389;1957;12 Angry Men;1000000;;;3500000;970;40;Drama;;;en;61191;United Artists;8543;81850;;;;
391;1964;Per un pugno di dollari;14500000;;;2000000;990;90;Western;;;it;39418;Jolly Film;78;39770;;;;
395;2004;AVP: Alien vs. Predator;177427090;;;700000000;1000;80;Adventure;Science Fiction;Action;en;42586;Revolution Sun Studios;59;41700;;;;
429;1966;Il buono, il brutto, il cattivo;38900000;;;12000000;1610;120;Western;;;it;90634;United Artists;8468;82050;;;;
436;2004;María, llena eres de gracia;12450821;;;30000000;1010;10;Drama;Thriller;Crime;es;1127;Journeyman Pictures;72;3620;;;;
496;2006;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;262600000;;;180000000;840;110;Comedy;;;en;2199;20th Century Fox;68;51440;;;;
573;1972;Frenzy;12600000;;;35000000;1160;50;Crime;Thriller;Horror;en;1656;Universal Pictures;71;8470;;;;
580;2006;Jaws: The Revenge;51881013;42331581200;6428639130;230000000;890;70;Adventure;Thriller;Horror;en;30382;Universal Pictures;41;9630;;;;
582;2006;Das Leben der Anderen;70000000;;;20000000;1370;30;Drama;Thriller;;de;28446;Creado Film;80;34850;;;;
598;2002;Cidade de Deus;30641770;;;33000000;1300;80;Drama;Crime;;pt;57927;O2 Filmes;843;70190;;;;
613;2004;Der Untergang;92200000;;;160000000;1550;90;Drama;History;War;de;26797;NDR;7861;36470;;;;
654;1954;On the Waterfront;9600000;;;9100000;1080;60;Crime;Drama;Romance;en;21818;Columbia Pictures;79;14830;;;;
666;1998;Central do Brasil;5596708;;;29000000;1100;110;Drama;;;pt;15793;MACT Productions;8149;8280;;;;
670;2003;올드보이;17500000;;;30000000;1200;110;Drama;Thriller;Mystery;ko;51972;Show East;826;82390;;;;
671;2001;Harry Potter and the Philosopher's Stone;976475550;;;1250000000;1520;110;Adventure;Fantasy;Family;en;179859;Warner Bros. Pictures;7913;264340;;;;
702;1951;A Streetcar Named Desire;8000000;;;18000000;1250;90;Drama;Thriller;;en;30841;Charles K. Feldman Group;76;12920;;;;
752;2006;V for Vendetta;132511035;;;540000000;1320;20;Action;Thriller;Science Fiction;en;51606;Virtual Studios;79;140020;;;;
802;1962;Lolita;9250000;;;20000000;1540;60;Drama;Comedy;Romance;en;33459;Metro-Goldwyn-Mayer;73;19520;;;;
805;1968;Rosemary's Baby;33395426;;;32000000;1380;60;Drama;Horror;Thriller;en;29285;William Castle Productions;7823;37150;;;;
821;1961;Judgment at Nuremberg;10000000;;;30000000;1900;120;Drama;History;;en;17714;United Artists;80;7270;;;;
850;1981;A Christmas Story;20700000;22568607900;1417660000;33000000;930;110;Comedy;Family;;en;12977;Christmas Tree Films;73;11740;;;;
874;1966;A Man for All Seasons;28350000;;;39000000;1200;120;Drama;History;;en;22742;Highland Films;74;3920;;;;
890;1989;Schlafes Bruder;97848;19717180600;2770000000;0;1270;90;Drama;;;de;3623;Dor Film;67;320;;;;
905;1929;Die Büchse der Pandora;885533;;;0;1330;10;Drama;Crime;Romance;de;12657;Nero-Film AG;75;2100;;;;
985;1977;Eraserhead;7000000;;;1000000;890;30;Horror;Fantasy;Horror;en;2449;American Film Institute (AFI);7387;22880;;;;
990;1961;The Hustler;7600000;;;20000000;1340;90;Drama;Romance;;en;27044;Rossen Films;77;9110;;;;
1088;2003;Whale Rider;41400000;;;80000000;1010;10;Drama;Family;;en;15525;South Pacific Pictures;71;3670;;;;
1255;2006;괴물;88489643;;;110000000;1200;70;Horror;Drama;Science Fiction;ko;30116;Chungeorahm Film;6986;26260;;;;
1391;2001;Y tu mamá también;33600000;;;50000000;1060;60;Drama;Romance;;es;4174;Bésame Mucho Pictures;74;14160;;;;
1417;2006;El laberinto del fauno;83258226;;;190000000;1180;100;Fantasy;Drama;War;es;65759;Estudios Picasso;7757;101620;;;;
1494;2006;滿城盡帶黃金甲;78568977;;;450000000;1140;120;Action;Drama;Fantasy;zh;29357;Beijing New Picture Film Co. Ltd.;68;6900;;;;
1555;2002;L'Auberge espagnole;3897799;;;53000000;1220;60;Drama;Comedy;Romance;fr;15329;Mate Producciones S.A.;71;10850;;;;
1599;2004;I ♥ Huckabees;20100000;;;220000000;1060;90;Comedy;Romance;;en;15282;Qwerty Films;62;6030;;;;
1613;2001;The 51st State;12881605;;;270000000;930;120;Thriller;Action;Comedy;en;15201;The Film Consortium;61;5770;;;;
1630;2004;The People vs. Larry Flynt;20300385;12553163400;2374574420;360000000;1300;120;Drama;;;en;16045;Columbia Pictures;70;10500;;;;
1651;1969;La Sirène du Mississipi;7356000;;;16000000;1230;60;Romance;Drama;Crime;fr;7302;Produzioni Associate Delphos;66;1830;;;;
1667;2005;La Marche de l'empereur;127392693;;;80000000;800;10;Documentary;Family;;fr;13052;Wild Bunch;70;10760;;;;
1913;2004;Mar adentro;38535221;;;128060000;1250;90;Drama;;;es;1269;Canal+;76;8650;;;;
1958;2002;8 femmes;42400000;;;80000000;1110;20;Comedy;Thriller;Mystery;fr;12915;Fidélité Productions;69;9260;;;;
1969;2006;Bandidas;18381890;;;350000000;930;10;Action;Comedy;Western;en;21974;A.J.O.Z. Films;60;10430;;;;
1989;2007;藍莓之夜;21800000;;;100000000;950;110;Drama;Romance;;cn;19707;Block 2 Pictures;64;7150;;;;
1997;2004;Deux Frères;62172050;;;745000000;1090;40;Adventure;Drama;Family;en;17382;Pathé Renn Productions;71;8020;;;;
2008;2005;无极;30995924;;;0;1210;120;Fantasy;Drama;Action;zh;14926;21 Century Shengkai Film;55;1080;;;;
2009;2007;4 luni, 3 săptămîni și 2 zile;1185783;;;8525100;1140;80;Drama;;;ro;14416;Saga Film;75;6860;;;;
2013;2007;Le Scaphandre et le Papillon;19777647;;;140000200;1120;50;Drama;History;;fr;16252;Pathé Renn Productions;76;11180;;;;
2266;2006;Paris, je t'aime;4900000;;;130000000;1200;60;Drama;Romance;;fr;14787;Filmazure;68;7190;;;;
2370;1969;Topaz;6000000;;;40000000;1270;120;Drama;Thriller;Mystery;en;14245;Universal Pictures;60;3610;;;;
2395;2008;Astérix aux Jeux olympiques;132900000;;;972504000;1160;10;Fantasy;Adventure;Comedy;fr;31654;TF1 Films Production;5204;18980;;;;
2428;1965;The Greatest Story Ever Told;15500000;;;200000000;1990;40;Drama;History;;en;3976;George Stevens Jr. Productions;64;1700;;;;
2661;1966;Batman;3900000;;;13778000;1050;70;Action;Comedy;Crime;en;18299;William Dozier Productions;63;8340;;;;
2800;1991;Rumor Has It...;88900000;20346410500;3119267780;700000000;970;120;Comedy;Romance;;en;20481;Village Roadshow Pictures;5616;10950;;;;
3040;2004;Ночной дозор;50336279;;;100000000;1140;60;Fantasy;Action;Thriller;ru;14792;Bazelevs Production;62;6950;;;;
3059;1916;Intolerance: Love's Struggle Throughout the Ages;1750000;;;3859070;1970;90;Drama;History;;en;17298;Triangle Film Corporation;71;3170;;;;
3060;1925;The Big Parade;20000000;;;3820000;1510;110;Romance;War;Drama;en;14449;Metro-Goldwyn-Mayer;76;1010;;;;
3062;1933;42nd Street;2281000;;;4390000;890;30;Comedy;Drama;Romance;en;14049;Warner Bros. Pictures;69;1670;;;;
3078;1934;It Happened One Night;4500000;;;3250000;1050;20;Comedy;Romance;;en;17741;Columbia Pictures;7833;11690;;;;
3080;1935;Top Hat;3202000;;;6090000;1010;80;Comedy;Music;Romance;en;35351;RKO Radio Pictures;73;2770;;;;
3089;1948;Red River;9012000;;;30000000;1330;80;Western;;;en;16855;United Artists;7371;4870;;;;
3175;1975;Barry Lyndon;198992;;;110000000;1850;120;Drama;Romance;War;en;21639;Warner Bros. Pictures;8003;26750;;;;
3482;1964;The Train;6800000;;;58000000;1330;90;War;Thriller;Thriller;en;18924;Les Productions Artistes Associés;75;2980;;;;
3640;1992;Bella Martha;4160475;16283363500;1039906560;0;1060;90;Romance;Comedy;;de;1122;ZDF;67;930;;;;
3766;1947;The Lady from Shanghai;1564609;;;23000000;870;120;Mystery;Crime;Drama;en;12581;Mercury Productions;74;6080;;;;
4174;1945;Spellbound;7000000;;;15000000;1110;110;Thriller;Mystery;Romance;en;16329;Vanguard Films;74;8390;;;;
4251;2004;वीर-ज़ारा;29385320;;;70000000;1920;110;Drama;Romance;;hi;16193;Yash Raj Films;74;2470;;;;
4258;2013;Scary Movie 5;78400000;;;200000000;860;40;Comedy;;;en;59347;Dimension Films;48;26920;;;;
4550;2005;친절한 금자씨;23803308;;;0;1150;70;Drama;Thriller;;ko;29702;TSJ Entertainment;75;15760;;;;
4935;2004;ハウルの動く城;236049757;;;240000000;1190;90;Fantasy;Animation;Adventure;ja;12143;Studio Ghibli;8411;93570;;;;
4960;2006;Synecdoche, New York;4383538;12850595800;1329372840;200000000;1240;100;Drama;;;en;20691;Likely Story;76;13500;;;;
4970;1999;Gothika;141591324;13680137400;1539000000;400000000;980;110;Horror;Thriller;Mystery;en;25758;Dark Castle Entertainment;61;21880;;;;
5590;2007;Peau d'âne;13200000;33653030300;5583299270;0;900;120;Fantasy;Music;Romance;fr;17934;Marianne Productions;72;4770;;;;
5680;1995;Elvira: Mistress of the Dark;5596267;17377276700;1620295040;75000000;960;90;Horror;Comedy;;en;21416;New World Pictures;66;4900;;;;
5722;1970;Beyond the Valley of the Dolls;40000000;;;20900000;1090;70;Comedy;Drama;Music;en;1631;20th Century Fox;62;1780;;;;
5769;1963;Tom Jones;37600000;;;10000000;1280;80;Comedy;Adventure;History;en;1153;Woodfall Film Productions;5969;1910;;;;
5780;1975;Torn Curtain;13000000;26000000000;2107000000;30000000;1270;70;Thriller;Thriller;;en;14609;Alfred J. Hitchcock Productions;66;5510;;;;
5822;1971;Sweet Sweetback's Baadasssss Song;15200000;;;1500000;970;30;Action;Crime;Drama;en;11098;Yeah;52;990;;;;
5854;1976;Family Plot;7900000;;;20000000;1200;40;Comedy;Crime;Thriller;en;20114;Universal Pictures;67;4230;;;;
5925;1963;The Great Escape;11700000;;;40000000;1730;70;Adventure;Drama;History;en;4566;The Mirisch Company;79;24110;;;;
6020;1996;Sorority Boys;12517488;30616925500;5112316230;120000000;930;30;Comedy;;;en;14697;Touchstone Pictures;54;2150;;;;
6537;2007;El orfanato;78638987;;;34000000;1050;50;Horror;Drama;Thriller;es;30456;Telecinco Cinema;72;27590;;;;
6968;2008;Der Baader Meinhof Komplex;26937355;;;270000000;1500;90;Action;Crime;Drama;de;16818;G.T. Film Production;69;5460;;;;
7191;2008;Cloverfield;170764026;;;250000000;850;10;Action;Thriller;Science Fiction;en;44463;Bad Robot;67;67730;;;;
7347;2007;Tropa de Elite;14759148;;;40000000;1150;100;Drama;Action;Crime;pt;45031;Universal Pictures do Brasil;8051;22870;;;;
7504;1998;1947: Earth;528972;;;0;1010;90;Drama;Romance;History;hi;5246;Cracking the Earth Films;66;360;;;;
7735;2008;Die Welle;19000000;;;75000000;1070;30;Drama;Thriller;;de;32406;Rat Pack Filmproduktion;75;31860;;;;
7870;2005;Down in the Valley;852872;18633627900;2997878110;80000000;1120;50;Drama;Romance;Thriller;en;10941;Class 5 Films;59;2020;;;;
7913;2006;रंग दे बसंती;11502151;;;22000000;1570;10;Comedy;Drama;History;hi;14308;UTV Motion Pictures;71;4150;;;;
7973;2007;سكر بنات;14248951;;;0;960;80;Drama;Comedy;Romance;ar;12197;Bac Films;69;2160;;;;
8011;1994;Highlander III: The Sorcerer;36700000;;;300000000;990;110;Fantasy;Action;Adventure;en;23138;Trans-Film;47;4640;;;;
8069;1968;Barbarella;2500000;;;90000000;980;100;Science Fiction;Adventure;Comedy;en;34529;Paramount;60;6790;;;;
8080;2001;Suspect Zero;13000000;26765501100;2241577830;270000000;990;80;Crime;Thriller;;en;10831;Paramount;55;3040;;;;
8090;2004;Untraceable;52659594;44122624700;4940277310;350000000;1010;10;Thriller;Crime;Mystery;en;18037;Cohen/Pearl Productions;62;8270;;;;
8265;2008;Bienvenue chez les Ch'tis;245144417;;;110000000;1060;20;Comedy;Drama;Romance;fr;21329;TF1 Films Production;67;23560;;;;
8329;2007;[REC];32511655;;;15000000;780;110;Horror;Mystery;;es;2892;Filmax;7193;41820;;;;
8337;1988;They Live;13000000;;;40000000;930;110;Science Fiction;Action;ScienceFiction;en;25549;Universal Pictures;7291;28590;;;;
8416;1970;Il conformista;233493;;;7500000;1080;70;Drama;;;it;15124;Marianne Productions;77;6200;;;;
8435;2005;A Cock and Bull Story;3931707;;;0;940;70;Comedy;History;;en;8613;Scion Films;62;1260;;;;
