Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
Hot Rod;Akiva Schaffer;Andy Samberg, Jorma Taccone, Bill Hader, Danny R. McBride;Comedy;67;430;88;849560;2007
Game Night;John Francis Daley;Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan;Comedy;69;660;100;2292920;2018
The First Wives Club;Hugh Wilson;Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith;Comedy;64;580;103;484130;1996
Scary Movie;Keenen Ivory Wayans;Shawn Wayans, Marlon Wayans, Cheri Oteri, Shannon Elizabeth;Comedy;62;480;88;2549270;2000
Blockers;Kay Cannon;Leslie Mann, Ike Barinholtz, John Cena, Kathryn Newton;Comedy;62;690;102;784980;2018
The Bank Dick;Edward F. Cline;W.C. Fields, Cora Witherspoon, Una Merkel, Evelyn Del Rio;;;;;;1940
Mrs. Doubtfire;Chris Columbus;Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein;Comedy;70;530;125;2640710;1993
Pitch Perfect;Jason Moore;Anna Kendrick, Skylar Astin, Rebel Wilson, Adam DeVine;Comedy;71;660;112;2999640;2012
Four Lions;Christopher Morris;Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak;Comedy;72;680;97;770850;2009
Safety Last;Fred C. Newmeyer;Harold Lloyd, Mildred Davis, Bill Strother, Noah Young;;;;;;1923
Big;Penny Marshall;Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard;Comedy;73;730;104;2159130;1988
Wet Hot American Summer;David Wain;Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau;Comedy;65;420;97;574340;2001
Barbershop;Tim Story;Ice Cube, Anthony Anderson, Cedric the Entertainer, Sean Patrick Thomas;Comedy;63;660;102;312170;2002
Dazed and Confused;Richard Linklater;Jason London, Wiley Wiggins, Sasha Jenson, Rory Cochrane;Comedy;76;780;103;1798510;1993
Ace Ventura: Pet Detective;Tom Shadyac;Jim Carrey, Courteney Cox, Sean Young, Tone Loc;Comedy;69;370;86;2960690;1994
Idiocracy;Mike Judge;Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews;Comedy;65;660;84;1594560;2006
Team America: World Police;Trey Parker;Trey Parker, Matt Stone, Kristen Miller, Masasa;Comedy;72;640;98;1677090;2004
Kissing Jessica Stein;Charles Herman-Wurmfeld;Jennifer Westfeldt, Heather Juergensen, Scott Cohen, Tovah Feldshuh;;;;;;2001
Trainwreck;Judd Apatow;Amy Schumer, Bill Hader, Brie Larson, Colin Quinn;Comedy;62;750;125;1361450;2015
Pee-wee's Big Adventure;Tim Burton;Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger;Comedy;70;470;91;527230;1985
Tommy Boy;Peter Segal;Chris Farley, David Spade, Brian Dennehy, Bo Derek;Comedy;71;460;97;859690;1995
Life;Ted Demme;Eddie Murphy, Martin Lawrence, Obba Babatundé, Ned Beatty;Comedy;67;630;108;499500;1999
