production_cost;Genre_1;Genre_2;Genre_3;id;original_language;Title;popularity;Production_Companies;release_date;WorldwideBox_office;runtime;title2;vote_average;vote_count;Cast;Director;DomesticBox_office;InternationalBox_office;IMDB_Rating;Metascore;Year;Month
237000000; Action; Adventure; Fantasy;19995;en;Avatar;150437577;Ingenious Film Partners;10/12/2009 00:00;2787965087;162;Avatar;72;11800;;;;;;;2009;12
300000000; Adventure; Fantasy; Action;285;en;Pirates of the Caribbean: At World's End;139082615;Walt Disney Pictures;19/05/2007 00:00;961000000;169;Pirates of the Caribbean: At World's End;69;4500;;;;;;;2007;5
245000000; Action; Adventure; Crime;206647;en;Spectre;107376788;Columbia Pictures;26/10/2015 00:00;880674609;148;Spectre;63;4466;;;;;;;2015;10
250000000; Action; Crime; Drama;49026;en;The Dark Knight Rises;11231295;Legendary Pictures;16/07/2012 00:00;1084939099;165;The Dark Knight Rises;76;9106;;;;;;;2012;7
260000000; Action; Adventure; Science Fiction;49529;en;John Carter;43926995;Walt Disney Pictures;07/03/2012 00:00;284139100;132;John Carter;61;2124;;;;;;;2012;3
258000000; Fantasy; Action; Adventure;559;en;Spider-Man 3;115699814;Columbia Pictures;01/05/2007 00:00;890871626;139;Spider-Man 3;59;3576;;;;;;;2007;5
260000000; Animation; Family;;38757;en;Tangled;48681969;Walt Disney Pictures;24/11/2010 00:00;591794936;100;Tangled;74;3330;;;;;;;2010;11
280000000; Action; Adventure; Science Fiction;99861;en;Avengers: Age of Ultron;134279229;Marvel Studios;22/04/2015 00:00;1405403694;141;Avengers: Age of Ultron;73;6767;;;;;;;2015;4
250000000; Adventure; Fantasy; Family;767;en;Harry Potter and the Half-Blood Prince;98885637;Warner Bros.;07/07/2009 00:00;933959197;153;Harry Potter and the Half-Blood Prince;74;5293;;;;;;;2009;7
250000000; Action; Adventure; Fantasy;209112;en;Batman v Superman: Dawn of Justice;155790452;DC Comics;23/03/2016 00:00;873260194;151;Batman v Superman: Dawn of Justice;57;7004;;;;;;;2016;3
270000000; Adventure; Fantasy; Action;1452;en;Superman Returns;57925623;DC Comics;28/06/2006 00:00;391081192;154;Superman Returns;54;1400;;;;;;;2006;6
200000000; Adventure; Action; Thriller;10764;en;Quantum of Solace;107928811;Eon Productions;30/10/2008 00:00;586090727;106;Quantum of Solace;61;2965;;;;;;;2008;10
200000000; Adventure; Fantasy; Action;58;en;Pirates of the Caribbean: Dead Man's Chest;145847379;Walt Disney Pictures;20/06/2006 00:00;1065659812;151;Pirates of the Caribbean: Dead Man's Chest;70;5246;;;;;;;2006;6
255000000; Action; Adventure; Western;57201;en;The Lone Ranger;49046956;Walt Disney Pictures;03/07/2013 00:00;89289910;149;The Lone Ranger;59;2311;;;;;;;2013;7
