Title;production_cost; opening_weekend ;Year
Avengers: Endgame;400000000;357115007;2019
Pirates of the Caribbean: On Stranger Tides;379000000;90151958;2011
Avengers: Age of Ultron;365000000;191271109;2015
Star Wars Ep. VII: The Force Awakens;306000000;247966675;2015
Avengers: Infinity War;300000000;257698183;2018
Pirates of the Caribbean: At World's End;300000000;114732820;2007
Justice League;300000000;93842239;2017
Spectre;300000000;70403148;2015
Star Wars: The Rise of Skywalker;275000000;177383864;2019
Solo: A Star Wars Story;275000000;84420489;2018
John Carter;263700000;30180188;2012
Batman v Superman: Dawn of Justice;263000000;166007347;2016
Star Wars Ep. VIII: The Last Jedi;262000000;220009584;2017
The Lion King;260000000;191770759;2019
Tangled;260000000;48767052;2010
Spider-Man 3;258000000;151116516;2007
Captain America: Civil War;250000000;179139142;2016
Thor: Love and Thunder;250000000;144165107;2022
Harry Potter and the Half-Blood Prince;250000000;77835727;2009
The Hobbit: The Desolation of Smaug;250000000;73645197;2013
The Hobbit: The Battle of the Five Armies;250000000;54724334;2014
The Fate of the Furious;250000000;98786705;2017
No Time to Die;250000000;55225007;2021
Avatar;237000000;77025481;2009
Superman Returns;232000000;52535096;2006
The Dark Knight Rises;230000000;160887295;2012
Pirates of the Caribbean: Dead Men Tell No Tales;230000000;62983253;2017
Quantum of Solace;230000000;67528882;2008
The Avengers;225000000;207438708;2012
Pirates of the Caribbean: Dead Man's Chest;225000000;135634554;2006
Man of Steel;225000000;116619362;2013
The Chronicles of Narnia: Prince Caspian;225000000;55034805;2008
The Lone Ranger;225000000;29210849;2013
The Amazing Spider-Man;220000000;62004688;2012
Battleship;220000000;25534825;2012
Transformers: The Last Knight;217000000;44680073;2017
Jurassic World;215000000;208806270;2015
Men in Black 3;215000000;54592779;2012
Transformers: Revenge of the Fallen;210000000;108966307;2009
Transformers: Age of Extinction;210000000;100038390;2014
X-Men: The Last Stand;210000000;102750665;2006
Robin Hood;210000000;36063385;2010
King Kong;207000000;50130145;2005
The Golden Compass;205000000;25783232;2007
Tenet;205000000;20001852;2020
Spider-Man: No Way Home;200000000;260138569;2021
Black Panther;200000000;202003951;2018
Titanic;200000000;28638131;1997
Incredibles 2;200000000;182687905;2018
Rogue One: A Star Wars Story;200000000;155081681;2016
Finding Dory;200000000;135060273;2016
Toy Story 4;200000000;120908065;2019
Toy Story 3;200000000;110307189;2010
Doctor Strange in the Multiverse of Madness;200000000;187420998;2022
Iron Man 3;200000000;174144585;2013
Guardians of the Galaxy Vol 2;200000000;146510104;2017
Spider-Man 2;200000000;88156227;2004
The Batman;200000000;134008624;2022
Alice in Wonderland;200000000;116101023;2010
Skyfall;200000000;88364714;2012
The Hobbit: An Unexpected Journey;200000000;84617303;2012
Monsters University;200000000;82429469;2013
